标题,豆瓣评分,链接,提取码
七月与安生,7.6,https://v.qq.com/x/cover/q8742fxhp6pj7zv/f0022mh8cz3.html,无
行运一条龙,6.8,https://pan.baidu.com/share/link?shareid=1357952873&uk=271831202&fid=3603102564,无
艺术家,8.4,https://pan.baidu.com/s/1ztwFhgQymIQ9Czls45udAg,2333
被光抓走的人,6.9,https://pan.baidu.com/s/1ZtsRgXSMVsFfMi7LflVt3g,rtgk
大话西游之大圣娶亲,9.2,https://pan.baidu.com/s/1ZTiVH02dNk6skoXb5E756Q,depb
最佳出价,8.4,https://pan.baidu.com/s/1ZqEObwNJTN2AXjEv2ZiHuA,5a5q
摘金奇缘,6.1,https://pan.baidu.com/s/1zPgiH8Q8vw-M6hukpgtKYg,2333
触不可及,5.5,https://pan.baidu.com/s/1ZNb6pDDwGdUqISW2FKeSMg,2333
大约在冬季,5.2,https://pan.baidu.com/s/1ziHwz3iA1f2WEh3_TwR2NA,8np2
爱情短片,8.8,https://pan.baidu.com/s/1ZgR5Bnr5l9ghbmoTflbYbw,l9c5
十七岁,6.8,https://pan.baidu.com/s/1zEokRmTnDne3I2LkEolTKA&shfl=sharese,2333
一个陌生女人的来信,7.5,https://pan.baidu.com/s/1Zc5AC16ajBlCBF4FApl1bw,2333
华丽上班族,6.0,https://pan.baidu.com/s/1z9uJ7b395Th39pFTzQ5D2g,2333
恋恋笔记本,8.5,https://pan.baidu.com/s/1z9bi26HLZ8HR3Lq91s7kdw,2333
堕落天使,8.3,https://pan.baidu.com/s/1z7lcgAt-IpZ9vss78iOJdQ,nyh6
巴尔扎克与小裁缝,7.9,https://pan.baidu.com/s/1z2LOL11lighm5uUINyQygQ,2333
美好年代,8.1,https://pan.baidu.com/s/1yW0T1y7QiSkQvEMsXK4V6w,2qvz
美好年代,8.1,https://pan.baidu.com/s/1yW0T1y7QiSkQvEMsXK4V6w,2qvz
致所有我曾爱过的男孩,7.4,https://pan.baidu.com/s/1Yu48qeCf_BSCi1U9qUQVVA,2333
本杰明·巴顿奇事,8.9,https://pan.baidu.com/s/1yqLPvZq2losyNgzW6jneQQ,2333
爱你，西蒙,8.3,https://pan.baidu.com/s/1Ynno1NNYzoJGTz_098qf0A,2333
与龙共舞,7.2,https://pan.baidu.com/s/1YFAlk8nqirbfAqo6DViTYQ,p1mt
呼啸山庄,7.3,https://pan.baidu.com/s/1yAEeswEAt7OePc_lIj-N1A,ji99
恋空,6.9,https://pan.baidu.com/s/1Y9kQGzh1SNQvOIxlryHRhw,4814
诺丁山,8.0,https://pan.baidu.com/s/1Y1f0Sn3DV4UeyOuLZIn_Eg,t1fd
保姆日记,6.9,https://pan.baidu.com/s/1y_A9t1awtJQ6_cWo999PGg,4vw7
一声叹息,7.5,https://pan.baidu.com/s/1xteOQb_C3bhOPAOkpGn35w,kjwy
火口的两人,7.1,https://pan.baidu.com/s/1XsXvTsBpJWI6bsmM4G49CA,q6fz
甜蜜蜜,8.8,https://pan.baidu.com/s/1XpoRZv8LXnGwW4LDTVV5UQ,dbnp
你好，之华,6.7,https://pan.baidu.com/s/1XPIEBukaz3H5dFCdJ_4tKQ,2333
阿黛尔的生活,8.4,https://pan.baidu.com/s/1XOnr2Jpww0SAk-7E8ns1AA,ncob
天生一对,8.3,https://pan.baidu.com/s/1xOFWcUXBwo7tiQb8fNs3Qw,tlta
茉莉花开,7.3,https://pan.baidu.com/s/1xmJJSeQwS7fPNCz86vmJXw,qlo5
人鬼情未了,8.2,https://pan.baidu.com/s/1xjddM3pfBrs3BDbVeEGJHQ,2el4
大话西游3,3.9,https://pan.baidu.com/s/1xEx1o0YjQdf-fcxy4eH_ag,2333
午夜巴黎,8.3,https://pan.baidu.com/s/1XE4waPW1LIVm3c9V_rW2lw,2333
魔法灰姑娘,6.6,https://pan.baidu.com/s/1x7qBh9M0WjM69iE4RWP-yA,an3c
天生杀人狂,8.0,https://pan.baidu.com/s/1x7K7vtkKURNVVA4pGT_qxQ,2333
窈窕淑女,8.1,https://pan.baidu.com/s/1x6mjtG4JiRNsFODQ-bZAZA,e7t1
茜茜公主,8.5,https://pan.baidu.com/s/1wyy4D52ex4dh6VDSCJ9FaQ,egiu
宿主,6.0,https://pan.baidu.com/s/1WYATqVjVxKsxK3x31966Gw,4p8a
非诚勿扰2,6.5,https://pan.baidu.com/s/1wXUMo6U5xdvBCOyf-t8X9Q,h2c9
时空恋旅人,8.7,https://pan.baidu.com/s/1wXd26NJnXZL4JFYRszlbGQ&shfl=shareset,2333
李米的猜想,7.9,https://pan.baidu.com/s/1wTXxp7IwpJjnWDSJCXwBsQ,2333
西游记女儿国,4.4,https://pan.baidu.com/s/1WrcBG_pgMAod9vT1-xLZKw,to5w
小妇人,8.1,https://pan.baidu.com/s/1wmxHX6uV5Xg56shi6BbxeQ,4bwm
小妇人,8.4,https://pan.baidu.com/s/1wmxHX6uV5Xg56shi6BbxeQ,4bwm
邻座的怪同学,6.2,https://pan.baidu.com/s/1WjLH0S3ZioBv4vgJD8Tw5A,2333
蝴蝶君,8.2,https://pan.baidu.com/s/1wGYSCkYG94w_9ClOvLSx0Q,4xv5
爱的捆绑,7.4,https://pan.baidu.com/s/1wFUt0js-QBIgoGYDTnzlZQ,txin
亲吻亭,6.7,https://pan.baidu.com/s/1W9ms5lANwBG7JOBbPHUHCw,2333
