标题,豆瓣评分,链接,提取码
蝙蝠侠：黑暗骑士,9.2,https://pan.baidu.com/s/1ig-vhBM_585CYFr2H2PV-Q,7rls
黑镜：圣诞特别篇,9.1,https://pan.baidu.com/s/1gxQxtN3adbGfcup9dZFQFQ,lasn
神探夏洛克：福至如归,9,https://pan.baidu.com/s/1s8wv0jAv4dx6OWgBVbxQ5g,2333
红辣椒,9,https://pan.baidu.com/s/1Ww2P0SMMb7AFTXtQBoA-Cg,xpv4
V字仇杀队,8.9,https://pan.baidu.com/s/1Uejv__-GfnEleC38Tpgx6g,uanp
浪客剑心,8.9,https://pan.baidu.com/s/1Nc6lCofr2LX72kxnQbwPGw,2333
第六感,8.9,https://pan.baidu.com/s/1mtBSkL88RXdIref9XLThPw,2333
追随,8.9,https://pan.baidu.com/s/1lMhHKS5b2v0dZ3s6AuWHKw,8kzi
致命魔术,8.9,https://pan.baidu.com/s/1DOaAfJBVmdPte39yYLTLZg,2333
2001太空漫游,8.8,https://pan.baidu.com/s/1MLdYMrvUrdQkyvpJ5X_JZw,0gpc
蝴蝶效应,8.8,https://pan.baidu.com/s/1zfNG1fZ3fMR8bSAmA_rl0Q,2333
致命ID,8.8,https://pan.baidu.com/s/1yI715xtcwr-3FdlbD4I3CA,wwc8
千钧一发,8.8,https://pan.baidu.com/s/1MnaM7fWtBn5pSGlHIY3slw,2333
电话谋杀案,8.8,https://pan.baidu.com/s/14TOT72OW6y7sy4haHz8kSg,7bx6
谍影重重3,8.8,https://pan.baidu.com/s/1gOEfllAdtZmI-vQLeYWEtw,2333
沉默的羔羊,8.8,https://pan.baidu.com/s/1U5gBhMT2b6dGUDMtIEM8Vw,2333
蝙蝠侠：黑暗骑士崛起,8.8,https://pan.baidu.com/s/1SLXRG-9Cm7Ll-xZ2_O3fHg,5hr0
末路狂花,8.8,https://pan.baidu.com/s/1cqVGpi_b8hOIP5YFZNOnEQ,5d0r
禁闭岛,8.8,https://pan.baidu.com/s/1JGUAznHWuTd-YwQX9sCi4g,2333
看不见的客人,8.8,https://pan.baidu.com/s/12nmzY2CVYYM2m1u-cWTdbw,4f7r
杀人回忆,8.8,https://pan.baidu.com/s/1qM0LrOGfmFx7zuBRuPGiZQ,qa99
七宗罪,8.8,https://v.qq.com/x/cover/zg7bhyyc1ffeha0/w0024dc6n9f.html,无
告白,8.7,https://pan.baidu.com/s/10lrwkMCv3ubF4TxkMbqmWg,2333
电锯惊魂,8.7,https://pan.baidu.com/s/1poMzcS3E5kKpkWIPKDwNDg,urh3
小丑,8.7,https://pan.baidu.com/s/1eqGIDrOoVOhf-ND0Y_Yfbw,aywj
情枭的黎明,8.7,https://pan.baidu.com/s/17lJQRp1x3T82sAiBKzZ3Aw,2333
血钻,8.7,https://pan.baidu.com/s/10FZIwD8puc-h-65wMyRP5w,2333
谍影重重2,8.7,https://pan.baidu.com/s/1cC8t-kJCtW244nty5Uanvw,2333
消失的爱人,8.7,https://pan.baidu.com/s/1espWRrUdr7p2Nz3A2ezDtQ,2333
精英部队2：大敌当前,8.7,https://pan.baidu.com/s/1cx_bp2Nwtlb08r71YLfvvw,2333
杀手,8.6,https://pan.baidu.com/s/1nQJdeqVLT4i_mDwdbwvUdg,2333
迷魂记,8.6,https://pan.baidu.com/s/1kne9t4O_if43kqCURM8IDA,2333
后窗,8.6,https://pan.baidu.com/s/1t1A9mTGgayyl5jqMZDw23A,2333
黑天鹅,8.6,https://pan.baidu.com/s/1WGqQ9Gw5m5DSUFa3ZT9NKQ,bz1d
烈焰焚币,8.6,https://pan.baidu.com/s/11B6utTl-mzPxfAf3vNl_VQ,gouh
非常嫌疑犯,8.6,https://pan.baidu.com/s/1kP7K9i17GmCyDsJtnkAgLQ,2333
网络谜踪,8.6,https://pan.baidu.com/s/1jeFClq5pF4RZDTSkSdniPg,2333
记忆碎片,8.6,https://pan.baidu.com/s/1UGxcq4lZLazMGzbCvshbvA,2333
釜山行,8.5,https://pan.baidu.com/s/1UMqbAqmJnkms23XGc3lUdQ,8888
彗星来的那一夜,8.5,https://pan.baidu.com/s/16gd4sn4yycg1Os3oAFjSAw,zi44
精武门,8.5,https://pan.baidu.com/s/1UH28JO6io95I5L-6D0BqPg,tlei
盗火线,8.5,https://pan.baidu.com/s/1HYR_gG1yMR9LuycbhVNZEw,dm3q
神探,8.5,https://pan.baidu.com/s/1EeI0kSC7Kf5oV3gPIXKXhQ,rtdy
迫在眉梢,8.5,https://pan.baidu.com/s/10YerJVw-v4INEbbhChNVKA,2333
变脸,8.5,https://pan.baidu.com/s/1aLLvil8FS2qRmTcYx5sLEQ,2333
死无对证,8.5,https://pan.baidu.com/s/1EfnzwtB4WrjtxxX1JG_okw,m345
恐怖游轮,8.5,https://pan.baidu.com/s/1-E0YyyFTDfudkG6R2J_oEw,2333
死囚越狱,8.5,https://pan.baidu.com/s/1o7VvdGUEIA7IVawSS1VHMQ,jvbo
歌剧魅影,8.5,https://pan.baidu.com/s/1-TtfqRiMZSiWMDU6M0eF-g,sru9
无间道2,8.5,https://pan.baidu.com/s/16MWgnb_B_NYQ2bSpnD_l1A,2333
源代码,8.4,https://pan.baidu.com/s/10Lnf6r_mlSiFq1tin7PI6w,cgpz
孟买酒店,8.4,https://pan.baidu.com/s/1Jvd72PWP1GhgWul6Xt5qHg,9728
猛龙过江,8.4,https://pan.baidu.com/s/1EpHRv1CfWIv8nGdJqDjEzw,ck3t
追击者,8.4,https://pan.baidu.com/s/126EPxpDWclPqo_fg6ArTjQ,szev
穆赫兰道,8.4,https://pan.baidu.com/s/1TzfagnvkfRRSNxhE392LxQ,2333
苦月亮,8.4,https://pan.baidu.com/s/1U5BlFmOTi61i9tDdAMHWQw,2333
独行杀手,8.4,https://pan.baidu.com/s/1ypplqkDxCEiFhxOCtqkagw,2333
狗镇,8.4,https://pan.baidu.com/s/1HlIFGJXzLV6QxijrcwGzzg,2333
危情十日,8.4,https://pan.baidu.com/s/1ZrliTEQxLpb1tvHW_2dJag,oirr
换子疑云,8.4,https://pan.baidu.com/s/1GUCM2iczkiuAd_yM-HojUA,maao
大佬,8.3,https://pan.baidu.com/s/1UXo7UHultPFIlrrPCGwTIw,ufl7
母亲,8.3,https://pan.baidu.com/s/16MFgtt7s14wMWjniK5Z7xg,2333
电锯惊魂2,8.3,https://pan.baidu.com/s/1kI0dxuqe1E-aobYeL4P1Nw,mfm4
碟中谍4,8.3,https://pan.baidu.com/s/1s_ACCQ0FevnRldAK2EsZSA,2333
钢铁侠,8.3,https://pan.baidu.com/s/1n3_HEs1hj6KUQhQuqJKR0w,8m5z
调音师,8.3,https://pan.baidu.com/s/1ckqUUyUGza7YHR6GLti8TQ,dn1i
最终幻想7：圣子降临,8.3,https://pan.baidu.com/s/1KYlJEKx2QmDKZziHxqgftg,86os
夜行者,8.3,https://pan.baidu.com/s/1Hz4_NDLO6r_4ez_hSqrBFw,2333
魔鬼代言人,8.3,https://pan.baidu.com/s/1ZElrfqjIXWXFdIMh6hhJwQ,xmyv
银翼杀手2049,8.3,https://pan.baidu.com/s/1zCCcFWq7-6LjxWunJnp8Mw,3v47
疤面煞星,8.3,https://pan.baidu.com/s/16sO9VgoLIFit21t0xU0Itw,2333
逃离德黑兰,8.3,https://pan.baidu.com/s/1ncwgOmdZtIf4Vm_WSNFC_A,6ney
夜访吸血鬼,8.3,https://pan.baidu.com/s/1-xguZngFI19rDw4R0t71ZA,2333
卡桑德拉大桥,8.3,https://pan.baidu.com/s/1E_3gdBKYFDkgNXXiNP8q2w,ef94
孤胆特工,8.2,https://pan.baidu.com/s/14MxAaH4rxCyMkDx2Ms11fA,2333
孤儿怨,8.2,https://pan.baidu.com/s/1sZqWxOpfDnZHlg3tpeYEAA,2333
处刑人,8.2,https://pan.baidu.com/s/1WZkqJWPKePlMrrGNUVb1PQ,ug92
黑社会,8.2,https://pan.baidu.com/s/1SO1HMTTL0Tlx-kT5AmhVgg,fbsg
喋血街头,8.2,https://pan.baidu.com/s/1f-xYysP4FUaQuRyRxcSN9g,seu7
第一滴血,8.2,https://pan.baidu.com/s/11fG7F_ifUK8oDL1glTy7jQ,2333
爱情是狗娘,8.2,https://pan.baidu.com/s/1719xEgvhYseaog9pVs2a6A,2333
老男孩,8.2,https://pan.baidu.com/s/1jAIM1XxsysACme6DbRn4cQ&shfl=sh,2333
天才瑞普利,8.2,https://pan.baidu.com/s/17NbOqJUZmAPS3SemJrNePA,2333
群鸟,8.2,https://pan.baidu.com/s/1rhFo6qESfxqc_I6BUaTIxw,39zl
老无所依,8.2,https://pan.baidu.com/s/1A4QmcgeF4aG9osB-n0Pr6g,9999
空中监狱,8.2,https://pan.baidu.com/s/1GWbVIrf0g4Cg_ZHH4sUhcw,2333
虎胆龙威,8.2,https://pan.baidu.com/s/1nrn4lu3HvoJtFnoZXbt53A,hph3
真实的谎言,8.2,https://pan.baidu.com/s/1h5LUEHBJ1pgYt8Bt1dQKUg,2333
十二猴子,8.2,https://pan.baidu.com/s/1QW4RBnTgdG5iy8td1ty2Cg,7tn0
目击者之追凶,8.2,https://pan.baidu.com/s/1c_mmpfwom9vTfDaEf4AY3g,3aab
汉尼拔,8.2,https://pan.baidu.com/s/1P6MYSGNGxQQ3BYlDSh4rcw,2333
第九区,8.2,https://pan.baidu.com/s/1Cny3hiKtuq-d0txmNM0BxQ,2333
风声,8.2,https://pan.baidu.com/s/1LOPdNl92tVed8pVj-erX-A,ur3r
终结者,8.1,https://pan.baidu.com/s/1G6m6RV8kt8V2lEIYemffAQ,2333
城市猎人,8.1,https://pan.baidu.com/s/1jbBV_YPms3wRT8NkKaU23w,l0k2
忠奸人,8.1,https://pan.baidu.com/s/1e9-YVCzxMAulhOhgHRssWA,2333
生死时速,8.1,https://pan.baidu.com/s/1w6fGVbtHkkaLpLiKc3KqQA,2333
罗拉快跑,8.1,https://pan.baidu.com/s/1CakOSzRmPiiRwgFFxSAivg,moo6
怒火救援,8.1,https://pan.baidu.com/s/1kw5rCrx-cjOrW8MModtDiA,28tv
窃听大阴谋,8.1,https://pan.baidu.com/s/1IXfmdDRhWS_XN9nlYB_Sjw,7o8d
升级,8.1,https://pan.baidu.com/s/1CW3lqnBk0OA3O1m213oPBg,2333
未知死亡,8.1,https://pan.baidu.com/s/1eAUG2m2UKbsCOgYiHf7evA,i47q
狗咬狗,8.1,https://pan.baidu.com/s/190D10Dx7W_M30d8jKmmAug,2333
我是传奇,8.1,https://pan.baidu.com/s/1XA-Y58-o-v_qufepwMNf_A,m817
蒙太奇,8.1,https://pan.baidu.com/s/10x616oi3X--8NWap1uoR4Q,qglq
黑社会2：以和为贵,8,https://pan.baidu.com/s/12XnNrJi7BmaYsTCGr2w3mw,idct
