标题,rate,链接,提取码
肖申克的救赎,9.7,https://pan.baidu.com/s/1R48dUUOJ6p9cgOlAH5KlGA,2333
霸王别姬,9.6,https://pan.baidu.com/s/18DYQBrCURZZFsm8iklrGzQ,2333
控方证人,9.6,https://pan.baidu.com/s/10uLBsfHnrypMyToOO28vzQ,l3dr
辛德勒的名单,9.5,https://pan.baidu.com/s/1WdTSgfe_HhVz60zxqXWsxQ,37ip
美丽人生,9.5,https://pan.baidu.com/s/1jpZuoONo1KG4bE1h9fhsUg,tflr
阿甘正传,9.5,https://pan.baidu.com/s/1iZPtsyMjMQ7fQcs_U2xpYA,bb1u
控方证人,9.5,https://pan.baidu.com/s/10uLBsfHnrypMyToOO28vzQ,l3dr
这个杀手不太冷,9.4,https://pan.baidu.com/s/1pbMtI4AqvaPAKsS3c6mhDA,2333
泰坦尼克号,9.4,https://pan.baidu.com/s/1GfjgPYShkcGL7VDCdinp2w,ohpa
忠犬八公的故事,9.4,https://pan.baidu.com/s/1eqpx7bShTQzfUamyWnl7vA,ktgf
十二怒汉,9.4,https://pan.baidu.com/s/16htJXnwIRE1lO1Hga6SAmA,2333
乱世佳人,9.3,https://pan.baidu.com/s/1u6j1n7hfqoTcH09q5QA4JQ,wf2a
熔炉,9.3,https://pan.baidu.com/s/1T4zl8uRkmxIIj9uLtzPLNw,2333
盗梦空间,9.3,https://pan.baidu.com/s/1FurbcZQ3g0DhMU-441_DUw,2333
海上钢琴师,9.3,https://pan.baidu.com/s/1dUQV6V7phr9U1UJGeiV5EA,2333
星际穿越,9.3,https://pan.baidu.com/s/1dGKhoCkV_jx532XY50eTyw,2333
楚门的世界,9.3,https://pan.baidu.com/s/19dmcmIlaPYTD85d-zqmT1A,2333
放牛班的春天,9.3,https://pan.baidu.com/s/14cYp-qO7h0fNtbrbYiqgjA,2333
教父,9.3,https://pan.baidu.com/s/1-yBp6fC2iDqiXlqnof-9pA,r0xh
触不可及,9.2,https://pan.baidu.com/s/1ZNb6pDDwGdUqISW2FKeSMg,2333
素媛,9.2,https://pan.baidu.com/s/1xaL28OjOxtXVtQlSEeZJPg,2333
指环王3：王者无敌,9.2,https://pan.baidu.com/s/1tOq4Sd-2LxMyn5JpiHc0tQ,5t4u
活着,9.2,https://pan.baidu.com/s/1PJTv-1poasvO0n8HPs0mZQ,2333
天堂电影院,9.2,https://pan.baidu.com/s/1NY6Ab51MtQvbOkvZ6F-o0A,2333
辩护人,9.2,https://pan.baidu.com/s/1mhIC1C0?fid=447985001649366,无
鬼子来了,9.2,https://pan.baidu.com/s/1jPoFe_1DbBWBUxLl0Zoc-g,2333
无间道,9.2,https://pan.baidu.com/s/1iVFTIHk4AD7ELP1w71WvBQ,2333
蝙蝠侠：黑暗骑士,9.2,https://pan.baidu.com/s/1ig-vhBM_585CYFr2H2PV-Q,7rls
三傻大闹宝莱坞,9.2,https://pan.baidu.com/s/1ESCHJfDfVTABT2no0kwr0Q,2333
钢琴家,9.2,https://pan.baidu.com/s/1cJO3nKHVRMe80U8X2yubDA,4upg
海蒂和爷爷,9.2,https://pan.baidu.com/s/1cHWYn1bTtpGkfb45PExJxg,0yif
教父2,9.2,https://pan.baidu.com/s/1a59WpIVNiVq1zwBbGmQHNQ,ecbc
窃听风暴,9.1,https://pan.baidu.com/s/1VwZyo6xhSbU5aT5O4gDJqg,2333
两杆大烟枪,9.1,https://pan.baidu.com/s/1TxZKpFwqKmg1gxGP-LB-ew,0mpn
