标题,rate,链接,提取码
控方证人,9.5,https://pan.baidu.com/s/10uLBsfHnrypMyToOO28vzQ,l3dr
盗梦空间,9.3,https://pan.baidu.com/s/1FurbcZQ3g0DhMU-441_DUw,2333
无间道,9.2,https://pan.baidu.com/s/1iVFTIHk4AD7ELP1w71WvBQ,2333
窃听风暴,9.1,https://pan.baidu.com/s/1VwZyo6xhSbU5aT5O4gDJqg,2333
名侦探柯南：贝克街的亡灵,9.0,https://pan.baidu.com/s/1_Y3hR7CtqmGey3OQexY1Lg,xr1s
红辣椒,9.0,https://pan.baidu.com/s/1Ww2P0SMMb7AFTXtQBoA-Cg,xpv4
搏击俱乐部,9.0,https://pan.baidu.com/s/1qWHPvOS?fid=823125988246782,无
神探夏洛克：福至如归,9.0,https://pan.baidu.com/s/1s8wv0jAv4dx6OWgBVbxQ5g,2333
追随,8.9,https://pan.baidu.com/s/1lMhHKS5b2v0dZ3s6AuWHKw,8kzi
致命魔术,8.9,https://pan.baidu.com/s/1DOaAfJBVmdPte39yYLTLZg,2333
第六感,8.9,https://pan.baidu.com/s/1mtBSkL88RXdIref9XLThPw,2333
致命ID,8.8,https://pan.baidu.com/s/1yI715xtcwr-3FdlbD4I3CA,wwc8
斯隆女士,8.8,https://pan.baidu.com/s/1AIj6LhtTwb0Ybhe6rrzAmA,u1l9
杀人回忆,8.8,https://pan.baidu.com/s/1qM0LrOGfmFx7zuBRuPGiZQ,qa99
七宗罪,8.8,https://v.qq.com/x/cover/zg7bhyyc1ffeha0/w0024dc6n9f.html,无
恐怖直播,8.8,https://pan.baidu.com/s/1jIzBtB4?fid=809954654088328,无
电话谋杀案,8.8,https://pan.baidu.com/s/14TOT72OW6y7sy4haHz8kSg,7bx6
看不见的客人,8.8,https://pan.baidu.com/s/12nmzY2CVYYM2m1u-cWTdbw,4f7r
禁闭岛,8.8,https://pan.baidu.com/s/1JGUAznHWuTd-YwQX9sCi4g,2333
蝴蝶效应,8.8,https://pan.baidu.com/s/1zfNG1fZ3fMR8bSAmA_rl0Q,2333
谍影重重3,8.8,https://pan.baidu.com/s/1gOEfllAdtZmI-vQLeYWEtw,2333
罗生门,8.8,https://pan.baidu.com/s/1ZdGGdO7Twwv6Lyh1W17Rww,2333
鲸鱼马戏团,8.8,https://pan.baidu.com/s/1DCP3Eg1e7mvzQf6ucsUKkQ,2333
电锯惊魂,8.7,https://pan.baidu.com/s/1poMzcS3E5kKpkWIPKDwNDg,urh3
蓝白红三部曲之红,8.7,https://pan.baidu.com/s/1_tOj7pJtYI6V-UzMJ_gUcw,4z3m
消失的爱人,8.7,https://pan.baidu.com/s/1espWRrUdr7p2Nz3A2ezDtQ,2333
心迷宫,8.7,https://pan.baidu.com/s/1qlOXg7kLaeddGXdUMGE_sA,2333
谍影重重2,8.7,https://pan.baidu.com/s/1cC8t-kJCtW244nty5Uanvw,2333
杀死一只知更鸟,8.6,https://pan.baidu.com/s/1PESMRGAs0FL1PcgZZ2fWuQ,pldf
焦土之城,8.6,https://pan.baidu.com/s/1QuCQjioL3IpYDbtaXULqkg,jx51
大卫·戈尔的一生,8.6,https://pan.baidu.com/s/1MQR8efq4IWc-gI4_kQcaUQ,8fnx
网络谜踪,8.6,https://pan.baidu.com/s/1jeFClq5pF4RZDTSkSdniPg,2333
记忆碎片,8.6,https://pan.baidu.com/s/1UGxcq4lZLazMGzbCvshbvA,2333
后窗,8.6,https://pan.baidu.com/s/1t1A9mTGgayyl5jqMZDw23A,2333
非常嫌疑犯,8.6,https://pan.baidu.com/s/1kP7K9i17GmCyDsJtnkAgLQ,2333
迷魂记,8.6,https://pan.baidu.com/s/1kne9t4O_if43kqCURM8IDA,2333
亚人1：冲动,8.6,https://pan.baidu.com/s/17XIjxnBvOhgbRiMlygW3GA,2333
彗星来的那一夜,8.5,https://pan.baidu.com/s/16gd4sn4yycg1Os3oAFjSAw,zi44
神探,8.5,https://pan.baidu.com/s/1EeI0kSC7Kf5oV3gPIXKXhQ,rtdy
死无对证,8.5,https://pan.baidu.com/s/1EfnzwtB4WrjtxxX1JG_okw,m345
月球,8.5,https://pan.baidu.com/s/13D1f6C_SefyYAAU7BB5rEA,ka0a	
误杀瞒天记,8.5,https://pan.baidu.com/s/1eahmdcvbEl_-bLDWWxodlg,k15c
登堂入室,8.5,https://pan.baidu.com/s/1Ms-MawOe0h96naWW0255eA,51oi
恐怖游轮,8.5,https://pan.baidu.com/s/1-E0YyyFTDfudkG6R2J_oEw,2333
一级恐惧,8.5,https://pan.baidu.com/s/1JckhXObSNcBlc7vyrd6_-w,2333
12怒汉：大审判,8.5,https://pan.baidu.com/s/1Nd5voiTW76RR_iXq6-nY9g,2333
血观音,8.4,https://pan.baidu.com/s/1O2iKeCm0mTP9YoH_sgEv1g,zggq
蓝白红三部曲之白,8.4,https://pan.baidu.com/s/1PhYToqmV9-Ta9TBlLw0DoA,spmd
换子疑云,8.4,https://pan.baidu.com/s/1GUCM2iczkiuAd_yM-HojUA,maao
赎罪,8.4,https://pan.baidu.com/s/1g8-3a2GqFTvVfJ7Yy44Wbg,lscu
暗花,8.4,https://pan.baidu.com/s/1YwGo4yusWrMFx628R9OPNg,i196
源代码,8.4,https://pan.baidu.com/s/10Lnf6r_mlSiFq1tin7PI6w,cgpz
最佳出价,8.4,https://pan.baidu.com/s/1ZqEObwNJTN2AXjEv2ZiHuA,5a5q
守望者,8.4,https://pan.baidu.com/s/1oTQ8TsI7GOwB6w7JzsVChw,46su
穆赫兰道,8.4,https://pan.baidu.com/s/1TzfagnvkfRRSNxhE392LxQ,2333
狗镇,8.4,https://pan.baidu.com/s/1HlIFGJXzLV6QxijrcwGzzg,2333
东方快车谋杀案,8.4,https://pan.baidu.com/s/1P1lIGM4VYz6OME14bnkZow,2333
黑洞频率,8.4,https://pan.baidu.com/s/1_iwxSoBnaVXUhK4tp0XRWA,2333
独行杀手,8.4,https://pan.baidu.com/s/1ypplqkDxCEiFhxOCtqkagw,2333
蝴蝶梦,8.3,https://pan.baidu.com/s/1twVsVYJxiVthJdXbqLCr-A,ywbp
魔鬼代言人,8.3,https://pan.baidu.com/s/1ZElrfqjIXWXFdIMh6hhJwQ,xmyv
电锯惊魂2,8.3,https://pan.baidu.com/s/1kI0dxuqe1E-aobYeL4P1Nw,mfm4
嫌疑人X的献身,8.3,https://pan.baidu.com/s/1fH2OuBDZH4KsUH-0GP1tuA,mcie
调音师,8.3,https://pan.baidu.com/s/1ckqUUyUGza7YHR6GLti8TQ,dn1i
谜一样的双眼,8.3,https://pan.baidu.com/s/1UOpvOGETiUqBdwjRvcoFyw,95fe
爱德华大夫,8.3,https://pan.baidu.com/s/1lnC4HPKd2xvapdyTGiGLag,6ydw
母亲,8.3,https://pan.baidu.com/s/16MFgtt7s14wMWjniK5Z7xg,2333
利刃出鞘,8.2,https://pan.baidu.com/s/1SgULtw25eEyvTGOVk6HnCA,sw6f
热血警探,8.2,https://pan.baidu.com/s/1zcVc697pA9l7DA9h05iIKw,lcgi
怪宴,8.2,https://pan.baidu.com/s/1CmL8z6aVTnK5hj8FUk9_Ow,fm2v
十二猴子,8.2,https://pan.baidu.com/s/1QW4RBnTgdG5iy8td1ty2Cg,7tn0
天才枪手,8.2,https://pan.baidu.com/s/1JV71FqNBKX74ULjx9eXq1g,52wh
人猿星球,8.2,https://pan.baidu.com/s/189wWOQT8q6M0MeiG9FUzfg,4458
目击者之追凶,8.2,https://pan.baidu.com/s/1c_mmpfwom9vTfDaEf4AY3g,3aab
群鸟,8.2,https://pan.baidu.com/s/1rhFo6qESfxqc_I6BUaTIxw,39zl
孤儿怨,8.2,https://pan.baidu.com/s/1sZqWxOpfDnZHlg3tpeYEAA,2333
老男孩,8.2,https://pan.baidu.com/s/1jAIM1XxsysACme6DbRn4cQ&shfl=sh,2333
西北偏北,8.2,https://pan.baidu.com/s/1alh0w_Po81wdQYYWBs7neg,2333
勇者无惧,8.2,https://pan.baidu.com/s/1_--2RXqq1rY8qLBucbqnTQ,2333
无双,8.1,https://pan.baidu.com/s/1vp29mSEmu0Gwcj5OeNcnLg,xvjy
未知死亡,8.1,https://pan.baidu.com/s/1eAUG2m2UKbsCOgYiHf7evA,i47q
白丝带,8.1,https://pan.baidu.com/s/1oGkyLbDpJdXLF10-aYIDUA,h0md
回归,8.1,https://pan.baidu.com/s/1Z6GgdEnei2-WmNo3YtSBBQ,b3a8
窃听大阴谋,8.1,https://pan.baidu.com/s/1IXfmdDRhWS_XN9nlYB_Sjw,7o8d
云图,8.1,https://pan.baidu.com/s/1dXNNQJvOz8_tcfK1Zl0TdA,2333
行骗天下JP：浪漫篇,8.1,https://pan.baidu.com/s/1Z5sZG72yBLGie4i3mXWtVA,2333
东方快车谋杀案,8.1,https://pan.baidu.com/s/1P1lIGM4VYz6OME14bnkZow,2333
漫长的婚约,8.1,https://pan.baidu.com/s/1-2UjoyWeC0AQfrKOGXeMdg,2333
赛末点,8.1,https://pan.baidu.com/s/13Gn753uvZJ1jNfJ4c57OAg,0nsn
万能钥匙,8.0,https://pan.baidu.com/s/1d6vKHX4AnwuUJ6Mczscnew,ye4h
龙纹身的女孩,8.0,https://pan.baidu.com/s/1H59hQyaIMvjG9mew6wgD9A,xz0k
贵妇失踪记,8.0,https://pan.baidu.com/s/10LGbWsqOdPxaQ4LKkxVXPw,e426
