标题,豆瓣评分,链接,提取码
七月与安生,7.6,https://v.qq.com/x/cover/q8742fxhp6pj7zv/f0022mh8cz3.html,无
艺术家,8.4,https://pan.baidu.com/s/1ztwFhgQymIQ9Czls45udAg,2333
最佳出价,8.4,https://pan.baidu.com/s/1ZqEObwNJTN2AXjEv2ZiHuA,5a5q
一个陌生女人的来信,7.5,https://pan.baidu.com/s/1Zc5AC16ajBlCBF4FApl1bw,2333
恋恋笔记本,8.5,https://pan.baidu.com/s/1z9bi26HLZ8HR3Lq91s7kdw,2333
巴尔扎克与小裁缝,7.9,https://pan.baidu.com/s/1z2LOL11lighm5uUINyQygQ,2333
美好年代,8.1,https://pan.baidu.com/s/1yW0T1y7QiSkQvEMsXK4V6w,2qvz
美好年代,8.1,https://pan.baidu.com/s/1yW0T1y7QiSkQvEMsXK4V6w,2qvz
致所有我曾爱过的男孩,7.4,https://pan.baidu.com/s/1Yu48qeCf_BSCi1U9qUQVVA,2333
本杰明·巴顿奇事,8.9,https://pan.baidu.com/s/1yqLPvZq2losyNgzW6jneQQ,2333
爱你，西蒙,8.3,https://pan.baidu.com/s/1Ynno1NNYzoJGTz_098qf0A,2333
诺丁山,8.0,https://pan.baidu.com/s/1Y1f0Sn3DV4UeyOuLZIn_Eg,t1fd
一声叹息,7.5,https://pan.baidu.com/s/1xteOQb_C3bhOPAOkpGn35w,kjwy
火口的两人,7.1,https://pan.baidu.com/s/1XsXvTsBpJWI6bsmM4G49CA,q6fz
阿黛尔的生活,8.4,https://pan.baidu.com/s/1XOnr2Jpww0SAk-7E8ns1AA,ncob
天生一对,8.3,https://pan.baidu.com/s/1xOFWcUXBwo7tiQb8fNs3Qw,tlta
茉莉花开,7.3,https://pan.baidu.com/s/1xmJJSeQwS7fPNCz86vmJXw,qlo5
午夜巴黎,8.3,https://pan.baidu.com/s/1XE4waPW1LIVm3c9V_rW2lw,2333
时空恋旅人,8.7,https://pan.baidu.com/s/1wXd26NJnXZL4JFYRszlbGQ&shfl=shareset,2333
李米的猜想,7.9,https://pan.baidu.com/s/1wTXxp7IwpJjnWDSJCXwBsQ,2333
小妇人,8.1,https://pan.baidu.com/s/1wmxHX6uV5Xg56shi6BbxeQ,4bwm
悲惨世界,8.6,https://pan.baidu.com/s/1W5qPMNy_gTT7napqzyGxBA,2333
自由坠落,7.8,https://pan.baidu.com/s/1w5C2CuuqCQzkM9bD1MXxhw,8jn4
