标题,豆瓣评分,电影年份,故事简介…,链接,提取码
七月与安生,7.6,2016,七月（马思纯 饰）和安生（周冬雨 饰）的第一次相识在十三岁，她们一个是特立独行飞扬跋扈的“野孩子”，一个是单纯温婉循规蹈矩的“乖乖女”，从那一年开始，七月和安生几乎形影不离，她是她的光，她是她的影子…,https://v.qq.com/x/cover/q8742fxhp6pj7zv/f0022mh8cz3.html,无
东北插班生,6.2,2017,《东北插班生》讲述了东北黑道之子王虎转学到台湾一所问题高中，无意间撞坏高校总长交接仪式，得罪台北高校老大，而由于王虎个性鲜明及南北文化差异，东北热血少年与台湾艋舺少年之间碰撞出一系列爆笑故事。影片以…,https://pan.baidu.com/s/1zlXWUVlT_ofteH-DU2Vqng,2333
她不知道名字的那些鸟儿,6.9,2017,北原十和子（苍井优 饰）同名为阵治（阿部隆史 饰）的男子过着同居的生活。虽然居住在同一屋檐下，但十和子和阵治之间却并非情侣关系。十和子厌恶阵治的粗俗和懦弱，而即便被十和子辱骂嫌弃，阵治却依然深深的为…,https://pan.baidu.com/s/1zh7j4Q5MXc93WDPkDVZuVw,2333
银翼杀手2049,8.3,2017,故事发生在大断电30年后。复制人K（瑞恩·高斯林 Ryan Gosling 饰）是新一代的银翼杀手，在如今的世界里，人类和复制人之间的界限划分的更加明确，复制人从刚一制造出来就被灌输了服务于人类的思…,https://pan.baidu.com/s/1zCCcFWq7-6LjxWunJnp8Mw,3v47
自杀小队,6.5,2016,阿曼达（维奥拉·戴维斯 Viola Davis 饰）身为政府秘密机构的领导人，面对社会中出现的层出不穷的暴力恐怖袭击事件，决心启用一批被关押在监狱中判了无期徒刑的超级反派们，他们是小丑女（玛歌特·罗…,https://pan.baidu.com/s/1z5hRZ9Vcc8ZULsr9XFQyAw,2333
悍女,6.8,2016,故事发生在十七世纪的美国西部小镇中，哑女丽姿（达科塔·范宁 Dakota Fanning 饰）和丈夫伊莱（威廉·休斯顿 William Houston 饰）带着他们的孩子们生活在那里。虽然日子清贫，…,https://pan.baidu.com/s/1Z0WmQq0xsqBGJk13Iwebew,zbwd
一条狗的使命,7.7,2017,影片以汪星人的视角展现狗狗和人类的微妙情感，一只狗狗陪伴小主人长大成人，甚至为他追到了女朋友，后来它年迈死去又转世投胎变成其他性别和类型的汪，第二次轮回狗狗变成了警犬威风凛凛，再次转轮回，又成了陪伴…,https://pan.baidu.com/s/1yzW3wqvhGdeVljlu1qqZcg,h15k
羞羞的铁拳,6.9,2017,堕落沉沦的MMA选手艾迪生（艾伦 饰）依靠打假拳度日，早已忘记昔日的雄心壮志。某次他和假拳掮客马东（田雨 饰）商议打假赛的时候，不慎被正义感爆棚的体育记者马小（马丽 饰）听到并录音。在追赶马丽的过程…,https://pan.baidu.com/s/1yzS_n6JmUPzsF_rw8jfMKw,2333
黑暗塔,5.2,2017,在一个由“黑暗塔”联接的多重世界里，最后的骑士“枪侠”罗兰(伊德瑞斯·艾尔巴饰)与企图摧毁黑暗塔、以毁灭世界的“黑衣人”沃特·奥丁(马修·麦康纳饰)之间，处于永无止尽的正邪大战。          …,https://pan.baidu.com/s/1YyEpv2kMKULtbVlpkJCEQw,n1kz
极限特工3：终极回归,5.6,2017,当Triple X项目的创始人吉布森（塞缪尔·杰克逊饰）被杀害了的时候，美国国安局特工马珂（托妮·科莱特饰）决定请回自假死后一直被政府跟踪的桑德·凯奇（范·迪塞尔饰）。为了给吉布森报仇，同意回归，招…,https://pan.baidu.com/s/1yXt3El9uXsQFz9G9c3_17A,j551
与神同行：罪与罚,7.8,2017,阴间有法，所有亡者在死后的49天内都要经过七次审判——分别在杀人狱、懒惰狱、欺骗狱、不义狱、背叛狱、暴力狱、天伦狱中进行，只有通过了七次审判宣告无罪的亡者，才有获得新生的机会。           …,https://pan.baidu.com/s/1yocEz3MPm1iqtAO9upXJzg,gdf9
处子之山,8.5,2015,已过不惑之年的单身狗Fúsi 是一个机场搬运工 精通机械却不善言辞 他的生活单调到除了工作就是金属乐，各种模型手办 在家人的鼓动下他尝试去了一个舞蹈班并终于认识了妹子 但害羞怯懦的他最后能走出自己的…,https://pan.baidu.com/s/1yBW88E3eXEYiciua5hgDbQ,r6kc
金刚狼3：殊死一战,8.3,2017,故事发生在2029年，彼时，X战警早已经解散，作为为数不多的仅存的变种人，金刚狼罗根（休·杰克曼 Hugh Jackman 饰）和卡利班（斯戴芬·莫昌特 Stephen Merchant 饰）照顾着…,https://pan.baidu.com/s/1y0VISp-SldYQV2WGn9UjLg,xs79
推销员,7.7,2016,尹麦德（沙哈布·侯赛尼 Shahab Hosseini 饰）是学校里教授文学的老师，同时，他和妻子蕾娜（塔兰涅·阿里多斯蒂 Taraneh Alidoosti 饰）一起在剧团里表演话剧，夫妻两人感情…,https://pan.baidu.com/s/1xjEgn4y2DchOfmsdBu6dxw,bhrg
第十二个人,7.9,2017,"本片根据真实故事改编,第二次大战期间，12名挪威破坏小分队潜入了德国在挪威境内的驻扎港，实施代号为“红色马丁”的破坏计划，11人被捕，第12人得以逃脱，并将秘密文件带回英国……           …",https://pan.baidu.com/s/1xJB4rqLFU1v757ZI8EBYkQ,eh8s
伊凡王子与百变公主,8.3,2016,每天晚上，一个女孩、一个男孩和一个老电影放映员都会在一个小电影院碰头，这个小电影院看似被废弃了，可实际上却十分奇妙。三个朋友一起创作、绘图、变装，成为了神奇的故事中的主角。地球深处、东方边境，他们极…,https://pan.baidu.com/s/1XdUDiIkx39bpz6ztiQCq9g,da3l
勇士,5.5,2016,电影《勇士》以红军长征途中强渡大渡河，飞夺泸定桥的英雄史实为原型，展现勇士们在敌人的围追堵截中大智大勇，挑战生死关口的非凡经历。李东学在片中饰演率领22名突击队员的黄开湘团长，他与战士们穿越枪林弹雨…,https://pan.baidu.com/s/1x6rYRtPC5cr5BxQx-gnNYg,2333
好时光,7.1,2017,一起以灾难收场的抢劫案后，劫犯康斯坦丁成功逃走，但他的弟弟尼克却被捕。为了能让自己的弟弟离开监狱，康斯坦丁尝试了去筹集足够的保释金，但他还有另外一个选择，那就是帮助尼克越狱。穷途末路的康斯坦丁别无他…,https://pan.baidu.com/s/1wrqvsJCgjRTFcqrfg2a8WQ,kfxc
天生不对,4.1,2017,秦瑞（周渝民 饰）仪表堂堂，英俊潇洒，但总遇不到适合自己的女人，恋爱一波三折，他有些灰心，感觉自己这辈子都不会遇见可以白头到老的女人了。直到有一天，他遇见了佩佩（薛凯琪 饰），真正的爱情才逐渐开始，…,https://pan.baidu.com/s/1wKelM9tbhRZmMf0UVKktIg,tfow
神奇女侠,7.1,2017,戴安娜（盖尔·加朵 Gal Gadot 饰）是女王希波吕忒（康妮·尼尔森 Connie Nielsen 饰）的女儿，自幼生活在天堂岛上。巨大的屏障将这座岛屿同外界的纷纷扰扰隔开犹如一个世外桃源，而岛…,https://pan.baidu.com/s/1Wa1DK4c6Arpb12AdRNl5Tg,jimb
完美陌生人,8.5,2018,"三对处于各个婚姻阶段的伴侣和一个宅男，七人聚在一起吃晚餐。女主人提议下拍板决定当夜所有人分享每一个电话、每一条短信、邮件的内容,由此许多秘密开始不再是秘密，他们之间的关系也开始发生波动。无数疮痍在这…",https://pan.baidu.com/s/1w5IKXA9R0Wulv6TbeH0w6Q,fowd
匪医诺克,6.6,2017,当医生来敲门，健康的人都成病人，不管小病还是重症，能够赚钱都是好病人。                                                                …,https://pan.baidu.com/s/1W4MygtL1cXvq75rVxeBMFw,22qn
在切瑟尔海滩上,7.3,2017,影片讲述上世纪60年代西方性解放运动来临之前，受过良好教育且深爱对方的两位年轻人在面对新婚初夜时，因担忧和恐惧而产生误解，最终分道扬镳、终身不再来往的故事。                     …,https://pan.baidu.com/s/1W3N4aXwTPVySTstHouG03Q,2333
人尽皆知,5.9,2018,《人尽皆知》讲述了定居在阿根廷的西班牙裔女子劳拉和她的丈夫及孩子回到西班牙小镇参加姐姐的婚礼，然而孩子却莫名失踪，这一突发事件使得原本和谐的家庭开始互相猜疑，尘封许久的秘密逐渐浮出水面……     …,https://pan.baidu.com/s/1VnBCVkiPFOKsFrQZ_eezHg,2333
瑞普·凡·温克尔的新娘,7.6,2016,熙熙攘攘的东京，生活着对人生似乎没有任何主见的派遣教师皆川七海（黑木华 饰）。通过网络，她与同为教师的鹤冈铁也（地曳豪 饰）相识，并走入婚姻殿堂。为了不让婚礼寒酸，她请来从事各种奇怪工作的网友安室行…,https://pan.baidu.com/s/1vLLTLJILM934TuufWvRV8g,9999
无人注视,7.3,2017,同志题材电影，但并非站在传统性别概念上的同志电影，只是探讨爱情的故事，为躲开纷扰的内心远走他乡，举目无亲，生活工作四处碰壁，孤寂踟躇，从一开始的国内明星，到异国无人注视的市井小民，然而真正在意的那份…,https://pan.baidu.com/s/1VDh35jr7cC4UDnCNB8RAUw,2333
