标题,豆瓣评分,链接,提取码
熔炉,9.3,https://pan.baidu.com/s/1T4zl8uRkmxIIj9uLtzPLNw,2333
素媛,9.2,https://pan.baidu.com/s/1xaL28OjOxtXVtQlSEeZJPg,2333
辩护人,9.2,https://pan.baidu.com/s/1mhIC1C0?fid=447985001649366,无
我爱你,9.0,https://pan.baidu.com/s/1tkhP92qCA7tiMyPrIoep6Q,2333
7号房的礼物,8.9,https://pan.baidu.com/s/1oh8gXtMm4bV1BcH2KmsCmw,2333
杀人回忆,8.8,https://pan.baidu.com/s/1qM0LrOGfmFx7zuBRuPGiZQ,qa99
共同警备区,8.8,https://pan.baidu.com/s/1qbnTsaww4X_MabAYChoQfg,2333
恐怖直播,8.8,https://pan.baidu.com/s/1jIzBtB4?fid=809954654088328,无
新世界,8.8,https://pan.baidu.com/s/1gMXcB2rM0UQTPGZJ7vjyAw,2333
阳光姐妹淘,8.8,https://pan.baidu.com/s/1fqCAI5IK7Lnm7lFA1TLY7g,2333
寄生虫,8.7,https://pan.baidu.com/s/1YHkaYfRaWlVcQZHd0h09zg,uk1k
82年生的金智英,8.6,https://pan.baidu.com/s/1jBhjLKrrHCNTmnqOSBlgNg,pky1
釜山行,8.5,https://pan.baidu.com/s/1UMqbAqmJnkms23XGc3lUdQ,8888
春夏秋冬又一春,8.5,https://pan.baidu.com/s/1SjnmadMqEqM9HMAIX6M1YA,2333
高地战,8.5,https://pan.baidu.com/s/1Gmnz37GkE6oDdGfgMVrHTQ,2333
结婚礼服,8.5,https://pan.baidu.com/s/18wTU4rySs5XJNs_qD61Chw,2333
开心家族,8.5,https://pan.baidu.com/s/16Du1HBsormeBqm2Xh2tcKg,it0n
思悼,8.4,https://pan.baidu.com/s/1XL4Lh3OGwhgtrwPzyjG5eg,rhoj
薄荷糖,8.4,https://pan.baidu.com/s/1wOYGgeaL41UVgPww_AAygw,2333
追击者,8.4,https://pan.baidu.com/s/126EPxpDWclPqo_fg6ArTjQ,szev
率性而活,8.3,https://pan.baidu.com/s/1X4VR0hr5G12T7rf2EiRQzA,04j2
太极旗飘扬,8.3,https://pan.baidu.com/s/1u4kpX7ha2r_DBMwRES1QQg,0ndx
母亲,8.3,https://pan.baidu.com/s/16MFgtt7s14wMWjniK5Z7xg,2333
夜间飞行,8.3,https://pan.baidu.com/s/15-8Q13nmDC5dM4wJFv3UjA,tldg
致允熙,8.2,https://pan.baidu.com/s/1XhnINNTzNIP46w1kNj8nPg,abnu
绿头苍蝇,8.2,https://pan.baidu.com/s/1qwOJmsilaCptI4ISkYDgxA,zqcv
老男孩,8.2,https://pan.baidu.com/s/1jAIM1XxsysACme6DbRn4cQ&shfl=sh,2333
我的野蛮女友,8.2,https://pan.baidu.com/s/1bYK80C5d-ePF9VKhGGuu1Q,2333
孤胆特工,8.2,https://pan.baidu.com/s/14MxAaH4rxCyMkDx2Ms11fA,2333
欢迎来到东莫村,8.2,https://pan.baidu.com/s/10Y_SKmFE13nR7c2Rbpj5DA,qzd9
蒙太奇,8.1,https://pan.baidu.com/s/10x616oi3X--8NWap1uoR4Q,qglq
空房间,8.0,https://pan.baidu.com/s/1N5pToCbim9wDWyIEPD_lLg,75o4
局内人,7.9,https://pan.baidu.com/s/1u71RAXfYAODrRj3xhzcRyw,2333
走到尽头,7.9,https://pan.baidu.com/s/1tUR-h-peTtRzexMzUdX7Uw,ug2d
蜂鸟,7.9,https://pan.baidu.com/s/1TbttmXcw3qfOtONGSzSvtg,2333
触不到的恋人,7.9,https://pan.baidu.com/s/1RVniQQNU6yLI5lLCT3iVHA,olhx
隐秘而伟大,7.9,https://pan.baidu.com/s/1nB1r-4E_hvjHT_5H7siegw,2333
南汉山城,7.9,https://pan.baidu.com/s/1lMrubVfbSGzOlYfWnoEXVQ,2333
我脑中的橡皮擦,7.9,https://pan.baidu.com/s/1JeXwxJpevCScWqFRhnhwYA,2333
